"Atlanta","Boston","Chicago","Dallas_Fort_Worth","Denver","Detroit","Houston","Inland_Empire","Los_Angeles","Miami","Minneapolis_Saint_Paul","New_York","Philadelphia","Phoenix","San_Diego","San_Francisco","Seattle","St._Louis","Tampa_Bay_area","Washington","Date"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2020-01-21"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2020-01-22"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2020-01-23"
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2020-01-24"
NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"2020-01-25"
NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-26"
NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-27"
NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-28"
NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-29"
NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-30"
NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-01-31"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,"2020-02-01"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-02"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-03"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-04"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-05"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-06"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-07"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-08"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,"2020-02-09"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-10"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-11"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-12"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-13"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-14"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-15"
NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,"2020-02-16"
