Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,56,19,35,29,31,37,16,18,-,17,7,13,13,8,12,7,20,17
1_22,55,18,35,30,31,38,17,18,-,16,10,13,13,9,12,7,19,17
1_23,57,20,35,32,30,38,16,18,-,18,9,12,14,8,12,7,22,17
1_24,57,19,33,31,30,37,17,18,-,17,10,13,13,8,12,7,20,16
1_25,38,16,26,22,17,24,14,16,-,12,6,9,9,6,9,5,16,12
1_26,54,22,34,30,31,33,16,17,-,16,8,10,13,6,12,8,21,21
1_27,57,20,36,33,31,38,18,18,-,18,10,13,14,8,12,7,21,17
1_28,57,20,33,29,29,38,16,18,-,17,7,13,13,8,13,7,20,17
1_29,55,18,34,30,30,38,17,18,-,15,10,13,13,9,12,7,19,17
1_30,57,20,34,32,32,38,16,18,-,18,10,13,13,8,12,7,21,17
1_31,56,19,35,32,31,37,17,18,-,17,10,13,13,8,12,7,21,17
2_1,38,15,23,20,18,23,16,18,-,12,6,9,9,6,10,5,16,12
2_2,53,19,28,27,28,32,14,19,-,14,7,8,11,6,10,7,19,19
2_3,56,19,36,34,30,39,18,21,-,18,10,13,14,8,12,7,20,17
2_4,54,19,34,29,30,37,16,21,-,17,7,13,13,8,12,6,21,17
2_5,56,18,33,30,30,37,17,19,-,16,10,13,13,8,12,6,20,17
2_6,58,20,34,32,30,38,16,18,-,18,9,13,13,8,12,6,19,17
2_7,56,19,34,32,30,38,17,18,-,17,10,13,13,8,12,6,20,17
2_8,39,17,26,22,17,24,15,20,-,12,6,9,10,6,9,5,16,12
2_9,55,20,33,31,31,34,16,17,-,16,8,10,13,6,12,8,21,19
2_10,56,19,34,34,31,37,18,19,-,18,10,13,15,8,12,7,20,15
2_11,56,19,33,29,31,38,16,18,-,17,7,13,14,8,12,7,22,15
2_12,55,18,33,30,31,38,16,18,-,16,10,13,13,8,12,7,21,16
2_13,58,20,35,33,30,38,16,19,-,16,9,14,12,9,13,6,22,16
2_14,57,19,35,34,32,38,17,19,-,15,10,13,13,9,12,7,21,16
2_15,37,17,23,22,17,22,12,16,-,11,7,9,9,5,9,4,15,15
2_16,48,16,26,28,25,30,13,17,-,11,6,9,12,6,10,6,19,18
2_17,56,18,33,33,31,37,16,19,-,15,10,13,13,8,12,7,21,16
2_18,57,20,35,32,32,38,16,19,-,16,8,13,13,9,12,7,21,16
2_19,54,19,35,32,32,37,17,19,-,15,10,13,13,9,12,7,20,16
2_20,56,20,35,34,32,38,16,19,-,16,9,13,13,9,12,7,22,16
2_21,55,19,34,33,32,38,17,19,-,15,10,13,12,9,12,7,21,16
2_22,37,17,26,22,17,23,12,15,-,12,7,9,9,6,9,6,15,15
2_23,54,19,31,32,30,34,16,19,-,14,8,10,13,6,12,8,21,20
2_24,56,20,37,33,32,39,18,19,-,16,10,13,14,9,13,6,20,16
2_25,55,20,34,32,32,37,16,19,-,18,8,13,13,8,12,6,21,16
2_26,55,19,35,33,32,38,17,19,-,16,10,13,15,9,12,7,20,16
2_27,56,20,35,32,32,38,16,19,-,18,9,13,13,9,12,7,22,16
2_28,57,19,35,33,32,38,17,19,-,17,10,13,13,9,13,7,21,16
2_29,40,17,27,22,17,24,16,16,-,12,7,9,9,6,10,6,15,15
3_1,55,20,33,32,30,34,16,18,-,15,8,10,14,6,12,8,21,20
3_2,58,19,36,34,32,39,18,19,-,18,10,13,14,9,12,7,21,16
3_3,56,20,35,32,32,38,16,19,-,17,8,13,13,9,12,7,21,16
3_4,55,19,34,33,32,38,17,19,-,15,10,14,13,8,12,7,20,16
3_5,57,20,244,33,32,38,16,19,-,18,9,13,13,8,13,6,22,16
3_6,56,19,35,33,32,38,18,20,-,16,10,14,13,8,12,7,21,16
3_7,41,17,29,23,20,23,15,17,-,11,7,8,8,5,10,6,22,15
3_8,52,21,31,31,27,29,17,19,-,16,9,14,13,7,12,7,22,21
3_9,57,20,41,35,30,35,20,20,-,17,10,11,14,9,12,8,23,21
3_10,56,21,39,33,30,34,18,20,-,18,8,11,13,10,12,8,23,21
3_11,56,21,41,34,29,34,18,20,-,16,10,11,15,11,13,7,22,21
3_12,61,22,40,34,29,35,18,20,-,20,9,13,13,10,14,9,24,23
3_13,59,21,41,32,29,35,20,20,-,19,10,13,13,9,13,9,23,23
3_14,43,17,31,24,20,24,16,18,-,11,7,10,15,6,14,8,26,19
3_15,55,21,32,30,28,31,17,21,-,17,10,15,13,9,13,8,23,23
3_16,56,21,42,34,29,35,20,20,-,19,10,12,13,10,13,9,22,23
3_17,53,21,34,30,29,30,16,18,-,18,8,10,13,9,13,9,23,23
3_18,50,19,27,32,27,32,15,18,-,18,10,11,13,8,13,9,21,21
3_19,43,16,25,28,24,23,13,17,-,18,6,9,13,9,12,7,17,11
3_20,36,12,25,22,23,20,11,13,-,11,8,9,10,8,11,7,13,18
3_21,32,13,13,17,18,17,9,13,-,8,6,10,9,6,10,7,21,16
3_22,26,12,17,15,15,17,8,13,-,13,2,8,10,8,7,5,11,14
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
