Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,72,15,30,6,4,38,24,9,17,-,13,4,11,5,10,5,7,10
1_22,72,15,28,6,4,37,22,9,16,-,12,5,11,7,10,5,7,9
1_23,72,16,32,9,4,39,24,9,18,-,12,5,11,7,10,5,7,9
1_24,72,17,29,8,4,39,25,10,17,-,13,5,11,7,10,5,7,9
1_25,36,11,18,6,4,17,13,9,10,-,10,4,6,3,6,3,8,7
1_26,52,15,23,8,5,31,21,9,17,-,12,4,9,6,8,4,8,7
1_27,73,17,27,7,4,39,25,10,17,-,13,5,11,6,10,5,7,10
1_28,72,15,26,6,4,38,23,9,17,-,13,4,11,5,10,5,7,10
1_29,73,15,25,6,4,38,22,9,15,-,15,5,11,7,10,5,7,9
1_30,72,15,27,9,4,39,24,9,18,-,12,5,11,7,10,5,7,9
1_31,73,16,27,8,4,39,25,10,17,-,13,5,11,7,10,5,7,10
2_1,36,11,15,6,4,17,13,9,10,-,10,4,6,3,6,3,7,7
2_2,45,14,20,8,5,30,19,10,15,-,12,4,8,5,6,4,6,7
2_3,73,17,27,7,3,39,25,10,17,-,12,5,11,6,10,5,7,10
2_4,72,16,25,6,4,38,23,9,17,-,13,4,11,4,10,5,7,10
2_5,72,15,24,6,4,38,22,9,16,-,12,5,10,6,10,5,7,9
2_6,71,16,27,9,4,36,24,9,18,-,12,4,11,6,10,5,7,10
2_7,67,16,27,8,4,37,26,10,17,-,13,5,11,6,10,5,7,10
2_8,32,10,14,5,3,17,13,8,10,-,10,4,6,3,5,3,8,7
2_9,52,13,19,8,4,31,21,9,17,-,12,4,9,6,8,4,7,8
2_10,71,17,28,7,4,39,25,10,17,-,13,5,12,5,10,5,7,10
2_11,70,16,25,6,4,38,23,9,17,-,13,4,10,4,10,5,7,9
2_12,71,15,25,6,4,38,22,9,16,-,12,5,12,9,10,4,7,9
2_13,68,18,28,7,4,35,22,8,16,-,12,5,12,9,9,4,11,11
2_14,67,18,27,8,4,38,23,10,15,-,13,5,12,9,9,4,10,10
2_15,33,10,17,8,4,17,13,9,10,-,11,6,5,5,6,2,12,8
2_16,40,14,22,9,4,24,19,8,11,-,11,5,8,6,5,3,11,9
2_17,61,17,26,8,4,34,21,10,15,-,13,5,12,8,9,4,11,11
2_18,70,17,26,9,4,37,23,9,16,-,13,5,11,7,9,4,11,10
2_19,69,18,24,7,4,37,23,9,15,-,12,5,11,7,9,4,11,10
2_20,68,18,27,8,4,38,22,9,15,-,12,5,12,8,9,4,11,11
2_21,66,19,27,8,4,38,23,10,15,-,13,5,12,9,9,4,11,10
2_22,33,12,17,8,4,17,13,8,10,-,12,6,5,5,6,2,12,8
2_23,53,16,24,9,4,29,18,8,15,-,12,5,9,7,7,3,11,10
2_24,67,18,27,8,4,38,22,10,15,-,13,5,12,8,9,4,11,11
2_25,70,18,28,10,4,37,25,9,18,-,13,5,11,8,10,4,9,10
2_26,70,16,26,8,4,37,25,9,16,-,12,5,10,9,10,4,10,10
2_27,69,17,28,10,4,36,26,9,18,-,12,5,12,9,10,4,10,11
2_28,69,18,29,9,4,37,26,10,17,-,13,5,11,9,10,4,10,10
2_29,32,12,17,8,4,17,14,9,10,-,12,6,5,5,6,2,12,7
3_1,55,16,23,9,4,29,19,8,16,-,12,5,9,7,8,3,11,10
3_2,70,18,29,9,4,38,26,10,17,-,13,5,12,8,10,4,9,11
3_3,69,18,28,10,4,36,26,9,17,-,13,5,11,8,10,4,10,10
3_4,71,18,26,8,4,36,25,9,16,-,12,5,11,9,10,4,10,11
3_5,71,16,29,10,4,38,26,9,18,-,13,5,12,8,10,4,9,11
3_6,70,16,28,9,4,38,26,10,16,-,14,5,12,8,9,4,9,9
3_7,33,11,19,7,4,17,13,9,11,-,12,7,6,4,7,3,10,6
3_8,53,13,24,8,5,28,23,8,17,-,13,7,9,6,8,3,11,8
3_9,71,15,28,9,5,36,25,10,15,-,14,7,9,5,9,4,11,11
3_10,71,14,27,9,5,37,26,9,16,-,15,7,8,5,9,4,11,11
3_11,70,14,25,8,5,37,26,10,17,-,14,7,9,7,8,4,12,11
3_12,72,15,28,10,5,36,25,9,19,-,14,7,10,7,9,4,11,12
3_13,63,13,27,9,5,36,27,10,18,-,14,7,10,6,9,4,11,12
3_14,32,11,19,7,4,17,13,7,12,-,12,7,6,5,6,3,9,7
3_15,50,12,23,9,5,26,24,8,17,-,13,7,10,7,8,3,10,9
3_16,62,12,27,8,6,33,21,10,19,-,15,7,10,6,9,4,11,11
3_17,61,14,23,9,5,29,18,9,17,-,15,6,9,6,9,4,11,10
3_18,62,14,18,7,4,33,22,8,17,-,14,5,9,6,8,4,9,9
3_19,53,12,21,10,5,34,21,9,17,-,12,6,10,5,7,4,11,8
3_20,56,13,20,7,5,33,21,10,10,-,12,5,7,5,7,3,10,9
3_21,23,11,12,7,2,13,10,9,8,-,10,6,6,4,5,3,8,7
3_22,35,13,17,7,3,21,21,8,11,-,11,7,8,5,7,2,9,6
