Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,87 ,26 ,-,30 ,28,46,16,12,38,28,14,22,0,13,42,10,15,31
1_22,92 ,27 ,-,31 ,27,43,17,14,37,27,15,22,0,14,38,10,18,32
1_23,87 ,26 ,-,30 ,27,44,17,13,34,31,15,21,0,15,41,11,19,33
1_24,85 ,23 ,-,25 ,25,41,16,14,33,29,13,21,0,15,35,10,14,25
1_25,51 ,20 ,-,22 ,18,32,10,15,22,17,12,24,0,8,25,14,11,18
1_26,78 ,23 ,-,34 ,21,42,18,13,37,22,16,27,0,12,38,17,18,26
1_27,80 ,26 ,-,30 ,28,36,17,13,35,27,16,22,0,15,34,11,18,33
1_28,79 ,26 ,-,31 ,26,37,16,12,34,26,14,22,0,13,34,10,15,31
1_29,78 ,26 ,-,30 ,26,36,17,13,34,24,15,22,0,14,33,10,18,31
1_30,80 ,26 ,-,32 ,28,36,17,12,34,28,15,22,0,15,34,11,18,33
1_31,78 ,25 ,-,31 ,26,36,17,16,34,27,15,21,0,15,34,11,18,33
2_1,39 ,19 ,-,20 ,18,26,10,15,21,14,12,23,0,8,17,14,12,18
2_2,59 ,23 ,-,34 ,19,34,17,15,32,20,15,27,0,12,26,17,18,27
2_3,77 ,25 ,-,32 ,28,34,18,14,35,26,17,21,0,15,33,11,18,32
2_4,78 ,26 ,-,30 ,27,35,16,12,34,25,14,22,0,13,33,10,15,32
2_5,76 ,27 ,-,31 ,25,36,17,13,34,24,15,22,0,14,33,10,18,32
2_6,78 ,25 ,-,31 ,27,35,17,13,33,27,15,21,0,15,33,11,18,32
2_7,73 ,26 ,-,32 ,26,35,17,13,35,27,14,22,0,15,34,11,18,32
2_8,40 ,20 ,-,21 ,18,22,10,15,21,14,12,23,0,8,18,14,12,19
2_9,56 ,23 ,-,26 ,19,24,14,13,34,21,13,22,0,10,25,16,14,19
2_10,80 ,26 ,-,30 ,29,37,17,13,35,27,16,22,0,15,34,12,20,32
2_11,79 ,28 ,-,30 ,28,36,16,12,33,25,14,22,0,12,33,11,17,31
2_12,75 ,26 ,-,30 ,25,34,16,11,35,23,14,21,0,13,30,11,18,31
2_13,74 ,25 ,-,31 ,29,30,13,15,35,26,16,15,0,15,34,11,21,30
2_14,80 ,29 ,-,31 ,30,36,18,15,36,26,15,21,0,15,35,12,22,32
2_15,40 ,23 ,-,23 ,18,24,11,14,19,15,13,23,0,10,18,15,15,20
2_16,55 ,27 ,-,34 ,20,31,17,14,30,23,14,25,0,11,26,17,19,26
2_17,75 ,29 ,-,31 ,30,38,17,15,33,26,17,21,0,14,33,12,22,32
2_18,81 ,29 ,-,31 ,30,36,17,15,37,25,16,21,0,15,34,12,22,33
2_19,82 ,29 ,-,31 ,31,35,17,15,36,23,15,21,0,15,34,12,22,32
2_20,79 ,29 ,-,31 ,31,37,17,15,36,27,16,21,0,15,36,12,22,31
2_21,80 ,29 ,-,32 ,30,35,18,15,35,26,15,21,0,15,35,12,22,34
2_22,40 ,23 ,-,23 ,18,24,12,14,22,15,12,23,0,11,19,15,16,20
2_23,66 ,27 ,-,35 ,22,34,18,15,36,25,15,26,0,12,33,18,20,26
