Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,11 ,11 ,13 ,10 ,28 
1_22,38 ,36 ,35 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
1_23,40 ,39 ,34 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
1_24,42 ,40 ,30 ,-,42 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
1_25,26 ,25 ,24 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
1_26,32 ,39 ,37 ,-,38 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
1_27,40 ,39 ,30 ,-,33 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,24 
1_28,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,12 ,11 ,13 ,10 ,28 
1_29,38 ,36 ,34 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
1_30,40 ,39 ,37 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
1_31,42 ,40 ,37 ,-,40 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
2_1,26 ,25 ,21 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
2_2,32 ,39 ,37 ,-,36 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
2_3,40 ,39 ,35 ,-,42 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,28 
2_4,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,11 ,11 ,13 ,10 ,28 
2_5,38 ,36 ,35 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
2_6,40 ,39 ,34 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
2_7,42 ,40 ,30 ,-,42 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
2_8,26 ,25 ,24 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
2_9,32 ,39 ,37 ,-,38 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
2_10,40 ,39 ,30 ,-,33 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,24 
2_11,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,12 ,11 ,13 ,10 ,28 
2_12,38 ,36 ,34 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
2_13,40 ,39 ,37 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
2_14,42 ,40 ,37 ,-,40 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
2_15,26 ,25 ,21 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
2_16,32 ,39 ,37 ,-,36 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
2_17,40 ,39 ,35 ,-,42 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,28 
2_18,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,11 ,11 ,13 ,10 ,28 
2_19,38 ,36 ,35 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
2_20,40 ,39 ,34 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
2_21,42 ,40 ,30 ,-,42 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
2_22,26 ,25 ,24 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
2_23,32 ,39 ,37 ,-,38 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
2_24,40 ,39 ,30 ,-,33 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,24 
2_25,35 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,12 ,11 ,13 ,10 ,28 
2_26,38 ,36 ,34 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
2_27,40 ,39 ,37 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
2_28,42 ,40 ,37 ,-,40 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
2_29,26 ,25 ,21 ,-,31 ,17 ,8 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
3_1,32 ,39 ,37 ,-,36 ,22 ,9 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
3_2,40 ,39 ,35 ,-,42 ,23 ,10 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,28 
3_3,37 ,35 ,34 ,-,42 ,22 ,9 ,11 ,29 ,8 ,16 ,23 ,10 ,11 ,11 ,13 ,10 ,28 
3_4,38 ,36 ,35 ,-,45 ,24 ,10 ,11 ,30 ,8 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
3_5,40 ,39 ,34 ,-,44 ,24 ,9 ,11 ,32 ,11 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
3_6,42 ,40 ,30 ,-,42 ,23 ,10 ,11 ,32 ,10 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
3_7,26 ,25 ,24 ,-,31 ,17 ,9 ,9 ,25 ,6 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
3_8,32 ,39 ,37 ,-,38 ,22 ,11 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
3_9,40 ,39 ,30 ,-,33 ,23 ,11 ,11 ,31 ,9 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,24 
3_10,35 ,35 ,34 ,-,42 ,22 ,10 ,11 ,29 ,7 ,16 ,23 ,10 ,12 ,11 ,13 ,10 ,28 
3_11,38 ,36 ,34 ,-,45 ,24 ,11 ,11 ,30 ,7 ,16 ,23 ,11 ,13 ,13 ,14 ,11 ,28 
3_12,40 ,39 ,37 ,-,44 ,24 ,10 ,11 ,32 ,10 ,17 ,23 ,10 ,15 ,14 ,16 ,13 ,32 
3_13,42 ,40 ,37 ,-,40 ,23 ,11 ,11 ,32 ,9 ,18 ,23 ,11 ,15 ,14 ,16 ,12 ,31 
3_14,26 ,25 ,21 ,-,31 ,17 ,9 ,9 ,25 ,5 ,11 ,23 ,7 ,9 ,9 ,11 ,10 ,22 
3_15,32 ,39 ,37 ,-,36 ,22 ,11 ,11 ,34 ,9 ,14 ,25 ,9 ,14 ,15 ,13 ,15 ,31 
3_16,40 ,39 ,35 ,-,39 ,23 ,11 ,11 ,31 ,8 ,15 ,21 ,10 ,14 ,12 ,14 ,11 ,28 
3_17,35 ,34 ,29 ,-,36 ,19 ,10 ,9 ,26 ,9 ,16 ,23 ,11 ,12 ,12 ,15 ,15 ,26 
3_18,35 ,35 ,27 ,-,38 ,18 ,9 ,9 ,28 ,7 ,14 ,23 ,10 ,12 ,12 ,12 ,15 ,25 
3_19,34 ,34 ,28 ,-,37 ,17 ,10 ,10 ,24 ,10 ,16 ,26 ,11 ,12 ,12 ,16 ,15 ,16 
3_20,33 ,37 ,28 ,-,35 ,17 ,9 ,9 ,25 ,7 ,15 ,29 ,11 ,10 ,11 ,14 ,13 ,26 
3_21,16 ,29 ,23 ,-,32 ,11 ,8 ,6 ,19 ,6 ,11 ,25 ,8 ,11 ,9 ,13 ,14 ,26 
3_22,19 ,27 ,20 ,-,31 ,14 ,9 ,7 ,25 ,7 ,10 ,20 ,9 ,10 ,10 ,10 ,12 ,32 
,,,,,,,,,,,,,,,,,,
