Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,23,33,25,29,22,12,5,4,18,8,13,29,6,15,17,14,8,-
1_22,23,32,25,28,24,12,5,4,18,7,14,29,6,16,16,14,9,-
1_23,25,34,28,31,23,12,6,4,18,8,13,30,7,16,17,15,8,-
1_24,23,34,24,31,22,12,6,4,17,8,13,30,7,17,17,15,9,-
1_25,16,24,20,22,17,15,4,3,13,6,14,22,6,12,11,11,11,-
1_26,24,31,28,28,23,12,5,4,15,7,16,33,7,16,16,19,7,-
1_27,25,33,28,27,23,12,6,4,18,8,13,30,7,16,17,15,9,-
1_28,24,31,24,29,22,12,5,4,18,8,12,29,6,15,16,14,8,-
1_29,24,32,25,28,23,12,5,4,18,7,13,29,6,16,16,14,9,-
1_30,25,33,27,30,23,12,6,4,18,8,14,30,7,16,17,15,8,-
1_31,25,34,27,31,22,12,6,4,18,8,14,29,7,17,17,15,9,-
2_1,15,23,21,26,17,15,4,4,13,6,11,22,5,12,11,11,11,-
2_2,23,31,28,28,23,12,5,4,13,7,14,31,5,15,14,19,7,-
2_3,23,34,28,28,23,12,5,4,18,8,13,28,7,16,16,14,9,-
2_4,24,32,25,29,22,12,5,4,18,8,13,27,6,14,16,14,8,-
2_5,24,32,25,27,23,12,5,4,18,7,13,29,6,16,16,14,9,-
2_6,25,35,29,32,24,12,6,4,18,8,13,30,7,16,17,15,8,-
2_7,23,32,24,27,20,12,6,4,17,8,13,26,7,16,16,13,8,-
2_8,15,24,21,22,18,16,4,4,13,6,11,22,5,13,11,11,11,-
2_9,23,32,23,28,23,12,5,4,15,7,14,33,7,17,15,18,7,-
2_10,23,34,28,29,21,12,6,4,18,8,15,31,7,15,17,13,9,-
2_11,24,31,27,27,19,12,5,4,18,8,13,30,6,15,16,12,8,-
2_12,25,31,24,27,20,13,5,4,18,7,14,30,6,16,16,14,9,-
2_13,24,34,28,30,20,14,7,4,18,9,14,33,8,17,17,15,8,-
2_14,25,34,28,32,20,14,7,4,18,9,14,32,8,18,17,15,9,-
2_15,19,24,24,30,18,13,4,5,15,7,12,25,6,12,11,12,11,-
2_16,23,32,24,26,22,11,5,4,14,8,14,36,7,16,12,18,7,-
2_17,25,33,27,32,20,14,7,4,18,9,14,33,8,18,16,15,9,-
2_18,25,33,27,32,20,13,6,4,18,8,14,32,8,17,16,14,8,-
2_19,25,32,27,31,20,13,6,4,18,8,14,32,8,18,16,14,9,-
2_20,25,33,29,32,20,14,7,4,18,9,14,33,8,17,17,15,8,-
2_21,25,34,28,32,21,14,7,4,18,9,14,33,8,18,17,15,9,-
2_22,19,24,19,23,17,15,4,5,15,8,12,25,6,12,11,12,11,-
2_23,22,31,30,27,25,12,5,4,15,8,14,36,8,18,14,18,7,-
2_24,26,33,27,32,20,14,7,4,18,9,14,33,8,18,16,15,9,-
2_25,26,30,27,32,20,13,6,4,18,8,14,32,8,17,16,14,8,-
2_26,25,31,28,31,20,13,6,4,18,8,13,32,8,18,16,14,9,-
2_27,26,34,27,33,20,14,7,4,18,9,14,33,8,17,17,15,8,-
2_28,25,33,28,32,20,14,7,4,18,9,15,33,8,18,17,15,9,-
2_29,20,24,21,24,17,15,4,5,14,8,12,24,6,12,11,12,12,-
3_1,23,32,29,27,22,12,5,4,15,8,15,36,8,18,14,18,7,-
3_2,25,34,27,32,20,14,7,4,18,9,14,33,8,18,17,15,9,-
3_3,25,30,28,32,20,13,6,4,19,8,17,32,8,17,16,14,8,-
3_4,24,30,28,30,20,14,6,4,18,8,13,31,8,19,16,14,9,-
3_5,24,33,30,33,20,14,6,4,18,9,14,33,8,17,17,15,8,-
3_6,24,33,28,32,20,14,6,4,18,9,15,33,8,18,16,15,9,-
3_7,16,31,27,29,20,12,7,4,13,7,14,27,9,11,15,16,14,-
3_8,26,32,28,31,23,15,6,4,16,9,16,33,9,16,15,18,8,-
3_9,24,30,32,28,22,16,7,4,18,8,16,32,9,19,16,16,10,-
3_10,22,29,34,29,22,17,7,4,18,7,16,32,9,18,15,17,9,-
3_11,24,29,33,28,22,15,7,4,18,7,15,29,9,19,14,17,10,-
3_12,26,31,34,30,22,16,7,4,19,8,14,31,9,18,16,17,9,-
3_13,26,30,34,29,23,16,7,4,20,8,14,34,9,18,15,17,10,-
3_14,18,32,27,28,21,11,7,4,16,7,13,27,9,11,16,16,13,-
3_15,28,34,29,31,23,15,6,4,18,9,14,33,9,16,15,18,9,-
3_16,23,31,33,29,23,17,7,4,20,8,15,32,9,18,17,17,10,-
3_17,23,30,27,24,21,16,7,4,19,7,15,28,8,17,15,16,9,-
3_18,21,30,23,24,20,14,7,4,18,7,15,24,9,19,16,14,10,-
3_19,12,19,14,14,6,8,5,4,10,4,5,24,5,10,10,5,3,-
3_20,19,24,22,27,19,14,4,4,14,9,9,31,9,14,12,14,8,-
3_21,12,23,17,27,17,9,6,4,14,5,9,24,5,8,11,15,12,-
3_22,15,23,15,28,16,10,5,3,14,7,10,29,7,9,9,14,7,-
