Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,45,-,25,37,22,12,10,9,20,12,47,34,7,30,8,15,2,31
1_22,46,-,25,36,21,13,10,8,19,12,52,36,7,31,9,15,2,32
1_23,48,-,25,40,23,13,10,9,20,14,55,37,7,35,10,15,2,35
1_24,48,-,25,40,23,13,10,8,21,14,53,36,7,33,10,15,2,35
1_25,34,-,18,24,20,10,9,7,15,10,47,29,5,26,6,15,2,25
1_26,48,-,25,34,17,13,9,9,20,13,48,32,6,32,9,14,2,37
1_27,48,-,25,40,24,12,9,8,20,14,51,36,7,34,10,15,2,34
1_28,46,-,25,37,22,12,9,9,20,12,54,34,7,30,8,15,2,31
1_29,47,-,25,36,21,13,10,8,19,12,50,36,7,30,9,15,2,32
1_30,48,-,25,40,23,13,10,9,21,14,52,35,7,35,9,15,2,35
1_31,47,-,25,42,21,14,10,9,20,14,52,36,7,33,9,16,2,35
2_1,34,-,17,24,19,10,9,8,15,10,44,28,5,26,5,14,2,23
2_2,46,-,25,33,17,13,9,10,19,12,45,30,5,31,6,13,2,37
2_3,49,-,25,40,22,12,10,9,20,14,52,36,7,33,9,15,2,33
2_4,45,-,25,37,22,12,10,10,20,12,52,33,7,28,9,15,2,30
2_5,46,-,24,36,21,13,10,8,18,12,52,35,7,30,9,16,2,33
2_6,49,-,25,40,23,13,10,10,21,14,52,35,7,32,10,15,2,35
2_7,49,-,25,42,23,13,10,9,20,14,52,34,7,31,10,15,2,33
2_8,34,-,18,24,19,10,9,7,15,10,46,29,5,27,7,16,2,24
2_9,46,-,25,34,17,13,9,9,19,13,49,30,6,31,9,14,3,36
2_10,48,-,26,41,22,13,10,8,19,14,54,35,6,33,10,15,1,31
2_11,45,-,27,38,20,13,10,9,19,12,51,32,6,30,9,15,1,25
2_12,46,-,23,37,21,14,10,8,18,13,56,35,7,33,9,15,1,29
2_13,51,-,26,41,23,14,8,9,20,14,56,36,8,34,10,15,1,32
2_14,51,-,25,40,23,14,8,8,19,14,55,36,8,33,10,15,1,33
2_15,32,-,24,29,20,10,7,8,14,10,45,28,6,22,6,14,2,23
2_16,42,-,25,33,19,13,8,9,16,12,48,30,6,31,7,15,4,36
2_17,48,-,27,40,23,13,10,8,18,14,54,36,8,33,9,15,2,32
2_18,48,-,27,41,23,13,10,9,20,14,56,38,8,32,9,15,2,32
2_19,50,-,28,40,23,14,10,8,19,14,52,38,8,32,9,15,2,29
2_20,51,-,27,41,23,14,10,9,20,14,53,36,8,36,10,16,3,33
2_21,51,-,27,41,23,14,9,8,19,14,56,36,8,34,10,15,2,34
2_22,38,-,24,30,20,10,8,8,15,10,46,31,6,24,6,15,4,23
2_23,51,-,25,34,19,13,8,8,19,13,50,31,7,33,9,14,4,37
2_24,51,-,27,42,23,13,9,8,19,14,54,36,8,35,10,15,2,34
2_25,48,-,27,40,23,13,10,9,20,14,54,36,8,31,9,15,2,31
2_26,49,-,27,40,23,14,10,8,19,14,53,38,8,32,9,15,2,32
2_27,52,-,27,41,23,14,10,9,20,14,55,36,7,36,11,15,2,34
2_28,51,-,27,41,23,14,9,8,19,14,46,36,9,34,10,15,3,34
2_29,38,-,23,30,20,10,8,8,15,10,46,30,6,24,6,15,4,23
3_1,50,-,25,34,19,13,9,9,19,13,50,31,7,33,9,14,3,36
3_2,51,-,27,41,23,13,9,8,19,14,55,36,8,34,10,15,1,34
3_3,47,-,27,40,24,13,9,9,20,14,55,35,8,30,8,15,1,29
3_4,48,-,26,40,22,14,9,8,19,14,56,37,8,31,9,15,1,30
3_5,52,-,27,41,24,15,10,9,20,14,54,36,8,34,10,15,1,33
3_6,52,-,29,42,24,15,9,8,18,14,54,36,8,34,11,14,1,33
3_7,38,-,25,31,20,11,8,8,15,12,44,31,6,22,6,14,2,27
3_8,50,-,28,38,22,14,9,9,20,12,45,37,7,31,9,14,4,27
3_9,52,-,26,40,22,12,9,8,21,13,51,34,8,32,10,14,2,32
3_10,50,-,26,39,22,12,9,9,22,12,52,33,8,30,8,14,2,31
3_11,50,-,26,38,22,13,9,8,21,12,53,31,8,28,9,14,2,30
3_12,53,-,26,40,22,13,9,9,24,13,53,33,9,32,11,15,2,33
3_13,53,-,27,39,22,13,7,8,23,13,52,34,9,30,11,14,2,32
3_14,38,-,25,31,20,11,8,8,15,12,42,30,5,20,7,14,3,28
3_15,50,-,29,39,22,14,7,9,20,12,44,37,7,32,10,14,4,28
3_16,53,-,26,39,22,12,9,8,23,12,51,31,8,34,11,14,2,33
3_17,50,-,24,37,22,12,8,9,23,12,47,32,8,29,10,14,2,30
3_18,48,-,19,35,20,13,6,7,21,11,44,29,9,28,11,14,2,32
3_19,43,-,19,39,20,12,7,9,19,11,44,33,9,31,11,14,2,16
3_20,35,-,22,36,19,12,6,8,13,12,44,34,9,23,11,13,2,29
3_21,23,-,17,26,14,7,6,7,11,11,43,27,4,17,5,13,2,23
3_22,31,-,21,29,14,12,8,8,10,11,28,29,5,20,6,13,2,16
