Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,24,7,39,9,11,14,6,3,12,9,6,13,9,7,-,4,5,16
1_22,24,8,39,10,11,13,6,5,12,9,7,14,8,8,-,4,7,15
1_23,25,9,37,12,11,13,7,6,13,9,8,15,9,9,-,5,7,16
1_24,25,9,34,11,10,13,7,6,12,9,8,15,9,9,-,5,7,16
1_25,13,5,23,10,7,7,3,6,9,5,6,12,5,5,-,2,5,11
1_26,23,9,39,11,10,10,4,7,12,8,7,15,8,7,-,6,6,15
1_27,25,9,37,11,12,14,7,5,12,9,8,15,8,9,-,5,7,16
1_28,24,7,35,9,12,14,6,3,12,9,6,12,8,7,-,4,5,15
1_29,24,8,35,10,12,14,6,5,12,9,7,14,8,8,-,4,7,15
1_30,26,8,35,12,11,13,7,6,12,9,8,15,8,9,-,5,6,16
1_31,25,8,36,11,11,14,7,6,13,9,8,15,8,9,-,5,7,16
2_1,12,4,18,9,7,6,3,7,9,5,6,12,4,6,-,2,6,11
2_2,17,6,27,9,8,6,3,7,10,6,6,13,5,6,-,4,6,13
2_3,25,8,37,12,12,14,7,6,13,9,8,15,8,9,-,5,7,15
2_4,24,8,34,9,12,14,6,4,12,9,6,13,9,7,-,4,5,15
2_5,24,8,34,10,12,14,6,5,12,9,7,15,9,8,-,4,7,15
2_6,25,9,35,12,12,14,7,6,12,9,8,15,8,9,-,5,6,16
2_7,25,9,36,11,12,14,7,7,12,9,8,15,8,9,-,5,8,15
2_8,13,6,19,10,7,7,3,7,9,5,6,13,5,5,-,2,6,11
2_9,22,8,24,11,10,10,4,7,12,8,7,15,8,7,-,7,5,15
2_10,25,9,37,12,11,13,6,6,12,9,8,15,8,9,-,6,8,17
2_11,24,9,34,9,11,13,6,4,13,9,6,14,8,6,-,5,6,15
2_12,24,9,33,10,12,14,6,5,13,9,7,14,8,8,-,5,8,16
2_13,23,9,34,12,12,13,8,6,12,9,8,15,9,9,-,6,7,16
2_14,25,9,37,11,12,13,7,7,12,8,8,16,9,8,-,6,8,17
2_15,10,5,19,11,8,5,4,7,9,5,5,14,6,7,-,2,7,11
2_16,16,6,26,10,9,6,4,7,10,5,6,15,6,6,-,4,6,13
2_17,23,8,35,11,10,12,6,6,12,8,8,17,9,9,-,5,9,17
2_18,23,8,35,11,10,13,7,5,12,8,6,17,9,8,-,5,6,16
2_19,23,8,36,11,10,14,7,6,12,8,7,17,9,9,-,5,8,16
2_20,24,9,36,12,11,14,7,6,12,8,8,17,9,9,-,6,7,17
2_21,24,9,37,11,12,14,7,7,12,8,8,17,10,9,-,6,8,17
2_22,11,5,20,11,8,6,4,8,9,5,6,15,6,7,-,2,7,11
2_23,22,8,32,11,11,10,5,7,12,7,7,16,9,7,-,7,6,15
2_24,24,9,37,12,12,14,7,6,12,8,8,17,10,9,-,6,8,17
2_25,23,8,34,11,12,14,7,5,12,9,6,17,9,8,-,5,6,16
2_26,24,8,34,11,11,14,7,6,12,9,7,17,9,9,-,5,8,16
2_27,24,9,36,12,10,13,7,6,13,9,8,17,10,9,-,6,7,17
2_28,24,9,36,11,11,13,7,7,12,9,8,17,10,9,-,6,8,17
2_29,11,6,20,12,6,6,4,7,9,5,7,15,7,6,-,2,7,11
3_1,22,8,31,11,11,10,5,8,12,8,6,16,9,7,-,6,6,15
3_2,24,9,37,12,12,14,7,6,12,9,8,16,9,9,-,6,8,17
3_3,23,7,35,11,12,14,7,5,13,9,6,17,9,8,-,5,6,16
3_4,24,8,35,11,11,14,7,7,12,9,7,17,9,9,-,5,8,16
3_5,25,9,36,12,12,14,7,7,12,10,8,17,10,9,-,6,7,17
3_6,26,9,35,11,10,14,7,7,12,10,8,18,10,9,-,6,8,16
3_7,11,6,19,9,8,8,5,8,9,5,6,18,6,7,-,4,10,13
3_8,23,8,29,11,10,11,5,8,12,8,8,18,9,7,-,5,6,15
3_9,25,10,36,12,10,14,6,6,12,10,8,18,9,8,-,5,9,17
3_10,24,8,34,11,12,14,6,5,12,9,6,18,9,7,-,5,7,16
3_11,24,9,33,11,12,14,6,6,13,9,7,18,9,8,-,4,9,16
3_12,25,11,34,13,12,14,6,7,13,8,8,20,10,8,-,5,9,17
3_13,25,11,34,12,12,14,6,7,13,9,8,20,9,8,-,5,10,16
3_14,13,7,21,10,11,10,7,8,13,5,6,21,7,8,-,5,11,14
3_15,24,9,30,12,9,12,6,7,12,9,9,19,10,8,-,5,7,15
3_16,25,11,36,13,10,14,6,7,13,9,7,19,9,8,-,5,10,18
3_17,25,9,27,11,10,14,6,6,13,7,7,18,10,8,-,4,9,16
3_18,23,11,25,11,9,12,6,6,13,8,7,16,9,8,-,5,10,15
3_19,23,11,22,13,11,10,6,7,13,8,7,17,9,8,-,5,8,11
3_20,21,8,21,9,9,10,5,5,11,6,3,15,7,6,-,4,7,9
3_21,11,3,19,9,10,7,7,5,11,3,4,20,4,3,-,3,10,10
3_22,13,6,20,9,9,8,4,4,13,2,6,13,7,6,-,3,6,12
