Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,-,47,77,36,30,50,4,39,57,73,36,15,33,12,24,10,24,24
1_22,-,47,73,39,30,48,4,41,56,72,35,16,33,12,23,9,24,24
1_23,-,50,74,41,29,50,6,43,58,73,39,16,33,12,24,11,25,25
1_24,-,48,76,42,29,49,6,43,57,72,38,16,33,12,24,10,25,25
1_25,-,36,32,24,19,29,6,31,38,34,25,10,20,10,12,6,21,18
1_26,-,46,63,34,28,44,6,42,53,52,36,16,32,12,22,12,24,22
1_27,-,49,70,41,30,50,6,42,57,74,38,16,33,12,24,10,25,25
1_28,-,47,69,36,30,49,7,39,57,73,37,15,33,12,24,10,24,24
1_29,-,47,68,39,30,50,7,40,56,73,36,16,34,12,23,9,24,24
1_30,-,48,70,40,28,49,6,43,58,73,38,16,33,12,24,11,24,25
1_31,-,47,68,43,29,50,6,46,58,74,38,16,33,12,24,10,26,25
2_1,-,35,33,24,18,29,5,35,38,33,26,10,19,10,12,6,20,16
2_2,-,44,49,32,26,38,5,42,51,45,35,16,28,12,16,11,21,21
2_3,-,48,69,41,30,49,6,49,56,74,36,16,33,11,24,9,25,24
2_4,-,46,69,36,30,50,7,42,56,71,35,15,33,12,23,10,24,24
2_5,-,47,67,38,30,49,8,42,56,72,36,16,33,12,23,8,24,24
2_6,-,50,69,41,28,51,7,43,56,70,37,16,31,12,24,11,25,25
2_7,-,48,68,41,28,46,6,41,57,64,38,16,30,12,24,11,25,25
2_8,-,36,34,23,20,29,6,33,39,33,26,10,18,10,12,6,20,17
2_9,-,47,50,34,28,44,6,43,52,51,37,16,32,12,22,11,23,21
2_10,-,49,69,41,31,50,7,43,55,72,37,16,33,12,24,10,25,24
2_11,-,45,70,36,31,49,8,42,57,72,35,15,33,12,23,9,24,24
2_12,-,48,67,39,31,51,7,40,54,71,35,16,33,12,23,9,25,24
2_13,-,51,68,40,30,49,7,42,56,70,38,18,32,12,23,10,28,25
2_14,-,50,68,39,30,50,8,42,56,70,37,17,33,12,23,10,30,25
2_15,-,33,35,22,19,29,6,35,39,36,27,12,18,10,10,6,27,19
2_16,-,39,42,30,25,36,7,41,45,39,31,17,26,11,14,8,25,20
2_17,-,48,69,41,32,43,6,43,55,64,36,17,32,11,22,10,29,25
2_18,-,50,69,39,32,50,6,43,55,72,37,17,32,12,22,9,29,25
2_19,-,49,68,41,30,52,6,41,54,69,37,16,33,11,22,9,27,25
2_20,-,50,68,40,30,49,6,42,56,70,39,18,32,11,23,10,29,25
2_21,-,50,68,40,32,49,6,37,55,68,40,17,32,12,24,10,29,25
2_22,-,41,35,24,20,32,5,36,38,34,26,12,19,10,11,6,27,19
2_23,-,47,54,33,28,42,5,42,52,52,35,17,31,11,21,9,28,21
2_24,-,51,69,41,30,50,7,42,56,70,39,17,32,12,23,10,28,25
2_25,-,47,67,38,30,49,7,42,55,70,37,17,33,12,24,9,26,26
2_26,-,50,68,43,30,50,7,42,56,71,37,16,32,11,22,9,26,25
2_27,-,50,67,40,30,48,6,42,56,70,38,18,32,12,23,10,28,25
2_28,-,52,69,40,30,48,6,44,57,72,39,17,32,12,23,10,27,26
2_29,-,42,34,26,21,32,5,35,40,35,25,12,20,10,11,5,24,19
3_1,-,49,53,33,29,43,5,42,53,54,36,17,31,11,21,9,27,21
3_2,-,53,70,41,31,51,7,42,56,71,38,17,32,12,23,10,27,25
3_3,-,49,68,38,30,51,7,42,56,70,36,17,33,12,22,9,26,25
3_4,-,51,68,40,31,51,7,42,55,71,36,17,32,11,22,9,26,24
3_5,-,54,68,40,30,50,6,41,57,73,40,17,33,13,24,10,28,24
3_6,-,54,68,41,30,50,8,44,57,70,40,17,33,13,25,10,29,24
3_7,-,42,35,26,21,34,6,36,41,36,26,14,20,10,12,5,25,17
3_8,-,48,58,33,29,44,9,42,52,53,38,16,31,12,23,9,27,20
3_9,-,52,67,40,30,52,9,42,59,73,40,18,33,14,24,10,29,25
3_10,-,49,68,36,30,52,10,42,58,71,37,18,34,14,23,9,29,24
3_11,-,51,67,39,30,51,11,42,58,73,35,18,33,14,13,9,29,25
3_12,-,53,69,39,30,51,11,43,62,72,41,19,33,15,23,10,30,26
3_13,-,54,68,40,30,51,9,43,62,69,40,19,34,15,24,10,30,26
3_14,-,43,37,27,21,35,9,36,44,35,27,14,23,10,14,5,27,18
3_15,-,47,56,35,30,46,8,43,54,50,39,17,33,13,23,9,28,21
3_16,-,50,65,38,30,50,9,43,58,66,42,19,35,15,24,10,30,25
3_17,-,44,59,34,28,49,8,39,56,62,38,19,33,15,23,9,30,22
3_18,-,45,48,35,25,49,9,38,53,63,31,18,31,13,23,9,29,22
3_19,-,43,48,34,24,48,9,40,46,54,30,19,34,12,20,10,27,15
3_20,-,36,45,32,23,45,9,34,35,55,28,15,32,12,21,9,24,21
3_21,-,36,25,14,13,26,10,26,31,27,17,9,18,7,11,5,21,11
3_22,-,31,32,19,13,32,9,34,24,38,17,13,23,9,15,9,19,15
