Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,15 ,35 ,25 ,25 ,18 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
1_22,15 ,37 ,25 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
1_23,15 ,37 ,24 ,26 ,19 ,6 ,7 ,4 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
1_24,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
1_25,12 ,29 ,22 ,25 ,12 ,3 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
1_26,14 ,32 ,30 ,23 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
1_27,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
1_28,15 ,35 ,25 ,25 ,19 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
1_29,15 ,37 ,25 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
1_30,15 ,37 ,24 ,26 ,20 ,6 ,7 ,4 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
1_31,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
2_1,12 ,29 ,22 ,25 ,12 ,3 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
2_2,14 ,32 ,30 ,23 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
2_3,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
2_4,15 ,35 ,25 ,25 ,18 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
2_5,15 ,37 ,25 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
2_6,15 ,37 ,24 ,26 ,19 ,6 ,7 ,4 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
2_7,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
2_8,12 ,29 ,22 ,25 ,12 ,3 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
2_9,14 ,32 ,30 ,23 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
2_10,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
2_11,15 ,35 ,25 ,25 ,19 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
2_12,15 ,37 ,25 ,26 ,20 ,6 ,7 ,3 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
2_13,15 ,37 ,24 ,26 ,20 ,6 ,7 ,3 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
2_14,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
2_15,12 ,29 ,22 ,25 ,12 ,4 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
2_16,14 ,32 ,30 ,23 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
2_17,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
2_18,15 ,35 ,25 ,25 ,18 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
2_19,15 ,37 ,25 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
2_20,15 ,37 ,24 ,26 ,19 ,6 ,7 ,4 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
2_21,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
2_22,12 ,29 ,22 ,25 ,12 ,4 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
2_23,14 ,32 ,30 ,23 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
2_24,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
2_25,15 ,35 ,25 ,25 ,19 ,6 ,7 ,4 ,12 ,7 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
2_26,15 ,37 ,25 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,14 ,-,8 ,20 ,13 ,16 ,4 ,26 
2_27,15 ,37 ,24 ,26 ,20 ,6 ,7 ,4 ,12 ,7 ,14 ,-,7 ,21 ,13 ,17 ,4 ,27 
2_28,14 ,37 ,25 ,26 ,20 ,7 ,7 ,4 ,12 ,8 ,13 ,-,7 ,21 ,15 ,17 ,4 ,26 
2_29,12 ,29 ,22 ,25 ,12 ,5 ,7 ,4 ,7 ,5 ,11 ,-,8 ,15 ,13 ,14 ,4 ,22 
3_1,14 ,32 ,30 ,25 ,12 ,6 ,7 ,4 ,11 ,5 ,11 ,-,7 ,18 ,15 ,16 ,5 ,26 
3_2,14 ,37 ,27 ,26 ,20 ,6 ,7 ,4 ,12 ,8 ,15 ,-,8 ,21 ,14 ,17 ,4 ,27 
3_3,15 ,35 ,25 ,25 ,18 ,6 ,7 ,4 ,12 ,8 ,12 ,-,5 ,19 ,13 ,14 ,3 ,26 
