Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,12,15,15,13,10,4,2,1,6,4,20,15,2,12,5,-,0,15
1_22,11,15,15,14,10,4,2,1,6,4,21,17,2,10,5,-,0,15
1_23,13,15,17,16,10,4,2,1,6,4,22,18,3,14,6,-,0,16
1_24,12,15,16,16,10,4,2,1,6,4,21,18,3,13,6,-,0,16
1_25,6,14,12,12,9,2,2,1,4,4,15,14,2,12,3,-,0,11
1_26,12,14,12,15,8,6,2,1,7,5,19,17,3,14,5,-,1,14
1_27,12,15,17,15,10,4,2,1,6,4,22,18,3,14,6,-,0,16
1_28,12,15,15,13,9,4,2,1,6,4,20,15,2,12,5,-,0,15
1_29,11,15,15,14,10,4,2,1,6,4,20,16,2,11,5,-,0,15
1_30,13,15,16,16,10,4,2,1,6,4,21,19,3,16,6,-,0,16
1_31,12,16,17,16,10,4,2,1,6,4,21,18,3,14,6,-,0,16
2_1,6,13,12,12,9,2,2,1,4,4,14,14,2,12,3,-,0,11
2_2,11,13,12,15,8,6,2,1,6,5,19,16,2,12,3,-,1,13
2_3,12,15,17,15,10,4,1,1,6,4,21,18,3,14,6,-,0,17
2_4,12,15,15,12,10,4,2,1,6,4,21,16,2,12,5,-,0,15
2_5,11,15,16,15,10,4,2,1,6,4,20,17,2,11,5,-,0,15
2_6,13,16,17,16,10,4,2,1,6,4,21,18,3,14,6,-,0,16
2_7,12,15,17,16,10,4,2,1,6,4,19,18,3,14,6,-,0,14
2_8,6,14,12,12,9,2,2,1,4,4,15,14,2,12,3,-,0,11
2_9,12,14,11,15,7,4,2,1,7,5,19,17,3,15,5,-,1,13
2_10,12,15,16,15,9,4,2,1,6,4,22,18,3,15,7,-,0,15
2_11,12,16,14,13,9,4,2,1,6,4,21,17,2,13,6,-,0,13
2_12,11,15,15,14,9,4,2,1,6,4,20,17,2,13,6,-,0,15
2_13,11,15,18,16,10,5,3,1,6,3,25,17,2,14,7,-,0,16
2_14,11,15,18,16,10,5,3,1,6,3,24,18,2,15,7,-,0,16
2_15,6,15,12,15,8,2,2,1,4,2,18,17,1,14,2,-,0,11
2_16,9,13,12,15,8,6,1,1,6,4,21,17,1,13,3,-,1,15
2_17,13,15,15,16,10,6,3,1,7,3,24,19,3,15,6,-,0,16
2_18,12,15,15,15,10,6,2,1,6,3,24,17,3,14,6,-,0,15
2_19,12,15,17,16,10,6,2,1,6,3,23,18,3,13,6,-,0,15
2_20,12,15,17,15,11,5,3,1,6,3,24,16,3,15,7,-,0,16
2_21,12,15,18,16,10,6,3,1,6,3,25,17,3,15,8,-,0,16
2_22,6,15,15,15,8,3,3,1,4,3,18,15,2,14,2,-,0,11
2_23,10,15,14,16,8,7,1,1,7,4,22,17,3,15,5,-,1,15
2_24,12,15,16,15,10,5,3,1,6,3,25,18,3,14,7,-,0,16
2_25,11,15,15,15,9,5,3,1,6,3,24,17,3,14,6,-,0,15
2_26,11,15,16,16,10,6,2,1,6,3,24,18,3,12,6,-,0,15
2_27,12,15,15,16,10,6,3,1,6,3,25,19,3,15,7,-,0,16
2_28,11,15,18,16,10,6,2,1,6,3,25,19,3,14,7,-,0,16
2_29,6,15,14,16,8,3,2,1,4,3,18,15,2,14,3,-,0,11
3_1,10,15,14,16,8,7,2,1,7,4,22,17,3,15,5,-,1,15
3_2,12,15,17,15,10,5,3,1,6,3,25,18,3,15,7,-,0,16
3_3,11,16,17,15,10,5,3,1,6,3,24,15,3,14,6,-,0,15
3_4,10,15,17,16,10,5,3,1,6,3,24,17,3,13,6,-,0,15
3_5,11,14,16,16,10,5,3,1,6,3,24,17,3,15,7,-,0,15
3_6,12,14,17,16,10,5,3,1,6,3,25,19,3,15,6,-,0,16
3_7,6,14,13,16,9,3,2,1,4,2,18,14,2,14,3,-,0,19
3_8,10,14,14,14,8,4,1,1,6,3,22,19,4,13,7,-,2,15
3_9,12,14,16,16,10,5,3,1,6,4,25,16,3,14,5,-,1,16
3_10,11,14,16,17,10,5,4,1,6,4,24,17,3,12,5,-,1,16
3_11,11,14,16,17,10,5,4,1,6,4,23,16,3,12,4,-,1,16
3_12,12,14,16,16,10,5,4,1,7,4,25,16,5,14,5,-,1,16
3_13,12,15,16,17,10,5,4,1,7,4,25,18,5,13,5,-,1,16
3_14,6,14,13,16,9,2,3,1,6,2,17,14,4,14,4,-,0,19
3_15,11,15,14,13,8,4,2,1,7,3,22,19,6,14,7,-,2,16
3_16,12,15,14,13,10,5,3,1,7,4,24,16,5,12,5,-,1,15
3_17,11,14,15,17,10,5,3,1,7,4,19,13,5,12,5,-,1,16
3_18,12,14,13,12,10,5,3,1,7,4,22,12,5,11,4,-,1,14
3_19,12,14,9,16,9,5,4,1,7,4,18,15,5,10,5,-,1,3
3_20,10,14,11,12,9,5,3,1,2,4,19,19,4,12,4,-,1,13
3_21,5,11,9,15,8,1,1,1,5,2,15,13,1,9,2,-,0,17
3_22,7,14,7,12,6,3,2,1,4,2,11,15,5,11,4,-,1,10
