Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,35 ,45 ,15 ,15 ,8 ,11 ,6 ,5 ,7 ,12 ,-,13 ,4 ,25 ,7 ,21 ,1 ,14 
1_22,36 ,52 ,16 ,15 ,8 ,11 ,6 ,6 ,10 ,12 ,-,14 ,5 ,24 ,6 ,22 ,1 ,14 
1_23,37 ,53 ,16 ,17 ,9 ,12 ,7 ,5 ,9 ,13 ,-,16 ,5 ,28 ,8 ,23 ,1 ,14 
1_24,38 ,53 ,15 ,15 ,8 ,12 ,7 ,5 ,10 ,13 ,-,15 ,5 ,28 ,8 ,22 ,3 ,14 
1_25,24 ,45 ,12 ,12 ,7 ,9 ,5 ,6 ,6 ,9 ,-,8 ,3 ,21 ,5 ,16 ,3 ,12 
1_26,37 ,49 ,14 ,15 ,8 ,11 ,8 ,5 ,9 ,13 ,-,10 ,5 ,25 ,7 ,17 ,1 ,15 
1_27,36 ,51 ,17 ,15 ,9 ,12 ,7 ,6 ,10 ,13 ,-,15 ,5 ,27 ,8 ,23 ,1 ,14 
1_28,35 ,50 ,15 ,15 ,8 ,11 ,6 ,5 ,7 ,12 ,-,13 ,4 ,25 ,7 ,21 ,1 ,14 
1_29,37 ,50 ,16 ,15 ,8 ,11 ,6 ,6 ,10 ,12 ,-,14 ,5 ,24 ,6 ,22 ,1 ,14 
1_30,37 ,52 ,16 ,17 ,9 ,12 ,7 ,5 ,9 ,13 ,-,16 ,5 ,28 ,8 ,23 ,3 ,14 
1_31,37 ,51 ,16 ,16 ,8 ,12 ,7 ,5 ,10 ,13 ,-,15 ,5 ,28 ,8 ,22 ,3 ,14 
2_1,24 ,43 ,12 ,12 ,7 ,9 ,5 ,6 ,6 ,9 ,-,8 ,3 ,21 ,5 ,16 ,1 ,12 
2_2,35 ,50 ,13 ,15 ,8 ,11 ,8 ,5 ,9 ,13 ,-,10 ,5 ,25 ,7 ,17 ,1 ,15 
2_3,36 ,52 ,17 ,15 ,9 ,12 ,7 ,6 ,10 ,13 ,-,15 ,5 ,27 ,8 ,23 ,1 ,14 
2_4,36 ,48 ,15 ,15 ,8 ,11 ,6 ,5 ,7 ,12 ,-,13 ,4 ,25 ,7 ,21 ,1 ,14 
2_5,38 ,52 ,16 ,15 ,8 ,11 ,6 ,6 ,10 ,12 ,-,14 ,5 ,24 ,6 ,22 ,1 ,14 
2_6,37 ,53 ,16 ,17 ,9 ,12 ,7 ,5 ,9 ,13 ,-,16 ,5 ,28 ,8 ,23 ,1 ,14 
2_7,38 ,53 ,16 ,15 ,8 ,12 ,7 ,5 ,10 ,13 ,-,15 ,5 ,28 ,8 ,22 ,3 ,14 
