Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,12 ,34 ,13,11 ,5,6,2,1,9,5,25,17,0,-,7,12,2,14
1_22,13 ,35 ,12,12 ,5,6,2,1,9,7,25,18,0,-,6,12,2,16
1_23,13 ,37 ,13,14 ,5,6,3,1,8,6,27,19,0,-,8,13,2,16
1_24,13 ,37 ,13,14 ,5,6,3,1,8,7,28,19,0,-,8,14,2,17
1_25,10 ,24 ,9,8 ,3,5,2,1,5,3,20,15,0,-,5,11,2,13
1_26,12 ,28 ,10,14 ,4,6,2,1,8,9,23,18,0,-,7,15,4,15
1_27,13 ,37 ,14,13 ,5,6,3,1,9,6,27,19,0,-,8,14,2,17
1_28,13 ,34 ,13,11 ,5,6,2,1,9,5,25,17,0,-,7,12,2,14
1_29,13 ,35 ,12,12 ,5,6,2,1,9,7,25,18,0,-,6,12,2,16
1_30,13 ,37 ,14,14 ,5,6,3,1,9,7,26,19,0,-,8,13,2,16
1_31,13 ,37 ,14,14 ,5,6,3,1,9,5,28,19,0,-,8,14,2,17
2_1,10 ,23 ,9,8 ,3,5,1,1,5,3,20,15,0,-,5,11,2,13
2_2,12 ,26 ,10,14 ,4,5,2,1,8,8,22,17,0,-,6,13,4,14
2_3,12 ,36 ,14,13 ,5,6,3,1,9,6,28,19,0,-,8,14,2,16
2_4,13 ,32 ,13,11 ,5,6,2,1,9,5,25,17,0,-,7,12,2,15
2_5,13 ,35 ,12,12 ,5,6,2,1,9,7,25,17,0,-,6,12,2,17
2_6,13 ,36 ,14,14 ,5,6,3,1,9,7,27,19,0,-,8,13,2,16
2_7,13 ,37 ,14,14 ,5,6,3,1,9,7,28,19,0,-,8,14,2,16
2_8,10 ,24 ,9,8 ,3,5,2,1,5,3,20,15,0,-,5,11,2,13
2_9,12 ,28 ,7,14 ,4,6,2,1,7,7,23,17,0,-,7,14,3,16
2_10,13 ,33 ,14,14 ,5,6,2,1,7,6,27,19,0,-,7,14,2,17
2_11,12 ,30 ,13,11 ,5,6,1,1,7,5,25,17,0,-,7,12,2,15
2_12,13 ,33 ,12,13 ,5,6,1,1,7,7,25,18,0,-,6,12,2,16
2_13,13 ,34 ,15,15 ,5,6,2,1,7,6,27,19,0,-,7,13,2,17
2_14,12 ,35 ,14,15 ,5,6,2,1,7,6,26,19,0,-,8,14,2,18
2_15,11 ,23 ,10,12 ,5,4,3,1,5,4,17,17,0,-,6,11,2,13
2_16,12 ,28 ,12,14 ,5,5,2,1,7,7,22,18,0,-,6,12,3,14
2_17,12 ,33 ,16,15 ,5,6,2,1,6,5,16,19,0,-,7,14,2,18
2_18,12 ,32 ,16,15 ,5,6,2,1,7,5,26,18,0,-,8,13,2,17
2_19,11 ,32 ,16,15 ,5,6,2,1,7,6,25,18,0,-,7,13,2,18
2_20,12 ,35 ,16,15 ,5,6,2,1,7,6,27,19,0,-,8,13,2,17
2_21,13 ,35 ,14,15 ,5,6,2,1,7,6,16,17,0,-,8,14,2,18
2_22,11 ,23 ,11,13 ,5,4,3,1,5,4,26,17,0,-,7,11,2,13
2_23,12 ,30 ,12,14 ,5,6,2,1,7,8,23,19,0,-,7,14,3,16
2_24,13 ,35 ,15,15 ,5,6,2,1,7,5,26,19,0,-,8,14,2,18
2_25,13 ,32 ,16,15 ,5,6,2,1,7,5,26,18,0,-,8,13,2,17
2_26,12 ,33 ,16,15 ,5,6,2,1,7,6,25,18,0,-,7,12,2,18
2_27,13 ,35 ,16,15 ,5,6,2,1,7,6,28,19,0,-,8,13,2,17
2_28,13 ,35 ,16,14 ,5,6,2,1,7,6,27,19,0,-,8,13,2,18
2_29,10 ,23 ,11,13 ,5,4,3,1,5,4,17,17,0,-,6,12,2,13
3_1,12 ,28 ,12,14 ,5,6,2,1,7,8,23,19,0,-,7,14,3,16
3_2,13 ,34 ,15,15 ,5,6,2,1,7,5,24,19,0,-,8,14,2,18
3_3,13 ,30 ,15,15 ,5,6,2,1,7,5,26,18,0,-,8,13,2,17
3_4,12 ,30 ,15,15 ,5,7,2,2,7,6,23,18,0,-,7,13,2,13
3_5,15 ,34 ,16,15 ,6,7,2,1,7,6,27,19,0,-,8,13,2,17
3_6,13 ,34 ,15,15 ,6,7,2,1,7,6,26,20,0,-,8,14,2,18
3_7,10 ,21 ,12,12 ,6,5,2,1,6,4,18,17,0,-,6,11,2,13
3_8,12 ,29 ,13,14 ,5,7,2,1,6,7,22,20,0,-,7,17,3,15
3_9,13 ,35 ,16,14 ,6,8,2,1,7,6,25,22,0,-,9,16,2,21
3_10,15 ,34 ,15,13 ,6,8,2,1,7,6,26,21,0,-,9,15,2,20
3_11,14 ,33 ,15,13 ,6,8,2,1,7,7,23,20,0,-,8,15,3,21
3_12,16 ,35 ,15,14 ,6,8,2,1,8,7,26,23,0,-,9,15,3,20
3_13,16 ,33 ,14,13 ,6,7,2,1,8,7,25,21,0,-,9,15,3,19
3_14,11 ,23 ,12,12 ,6,5,2,1,7,4,16,17,0,-,8,14,3,14
3_15,13 ,29 ,13,14 ,5,7,2,1,8,7,23,20,0,-,8,17,4,15
3_16,15 ,36 ,16,13 ,6,8,2,1,8,7,25,21,0,-,9,14,3,20
3_17,15 ,32 ,15,13 ,6,8,2,1,7,5,24,21,0,-,9,14,3,19
3_18,12 ,30 ,12,13 ,6,9,3,1,7,6,23,17,0,-,9,14,3,19
3_19,12 ,36 ,11,12 ,6,8,3,1,7,6,23,21,0,-,9,13,3,11
3_20,14 ,24 ,12,11 ,6,8,3,1,7,4,21,19,0,-,8,16,3,15
3_21,9 ,19 ,9,11 ,3,5,2,1,8,4,16,11,0,-,4,7,2,7
3_22,9 ,20 ,9,11 ,3,4,3,1,7,6,20,15,0,-,6,11,2,9
