Date,New_York,Los_Angeles,Chicago,Dallas_Fort_Worth,Houston,Washington,Philadelphia,Miami,Atlanta,Boston,San_Francisco,Phoenix,Detroit,Seattle,Minneapolis_Saint_Paul,San_Diego,Tampa_Bay_area,Denver
1_21,25,1,16,14,8,9,7,5,21,7,3,5,9,2,5,3,-,8
1_22,25,1,18,15,8,9,8,5,21,7,3,6,9,2,7,3,-,8
1_23,27,1,19,17,9,9,9,5,23,7,3,6,10,2,6,3,-,8
1_24,26,1,17,17,9,9,11,5,21,8,3,6,10,2,6,3,-,8
1_25,21,1,15,12,7,11,6,5,15,10,1,6,8,3,6,3,-,8
1_26,23,3,18,16,13,11,8,5,22,8,2,8,9,2,7,3,-,8
1_27,26,2,19,16,9,9,10,5,21,9,2,6,10,2,7,2,-,8
1_28,25,2,16,14,8,9,7,5,21,8,2,5,9,2,5,2,-,7
1_29,25,2,18,15,8,9,8,5,22,8,2,6,9,2,7,2,-,8
1_30,26,2,19,18,9,10,9,5,22,7,3,6,10,2,6,3,-,7
1_31,25,2,18,17,9,10,11,5,22,7,3,6,10,2,7,3,-,8
2_1,21,2,15,12,7,11,6,5,15,6,1,6,8,3,6,3,-,8
2_2,21,3,17,16,13,12,8,5,20,8,2,8,8,2,6,3,-,8
2_3,26,2,19,16,9,10,10,5,21,8,3,6,10,2,7,3,-,8
2_4,25,2,15,14,8,9,7,6,21,8,3,5,9,2,5,3,-,7
2_5,25,2,18,14,9,9,8,5,21,8,2,5,9,2,7,3,-,8
2_6,25,2,19,17,9,9,8,5,20,8,2,4,10,2,6,2,-,7
2_7,26,2,19,17,9,8,11,5,23,8,2,5,10,2,8,2,-,8
2_8,21,1,15,12,7,12,6,5,15,8,1,6,8,3,6,3,-,8
2_9,23,3,14,15,13,11,9,5,22,7,2,8,9,2,6,3,-,8
2_10,26,1,19,16,9,9,10,5,21,8,3,6,10,2,8,3,-,9
2_11,25,1,17,14,8,8,8,5,21,9,3,5,9,2,6,3,-,8
2_12,25,2,18,15,8,9,8,4,20,8,3,6,9,2,7,3,-,9
2_13,29,2,21,16,10,9,9,3,22,10,4,6,9,2,7,4,-,8
2_14,32,2,22,17,10,9,10,3,21,11,3,5,9,2,8,4,-,9
2_15,28,1,17,13,7,10,9,3,16,12,1,5,7,3,7,0,-,8
2_16,25,2,22,14,13,11,9,3,20,11,2,7,8,2,7,2,-,8
2_17,30,1,21,16,10,9,10,3,21,11,4,6,9,2,9,4,-,9
2_18,29,1,21,16,10,9,9,3,21,11,4,6,9,2,6,4,-,8
2_19,29,1,21,16,10,10,10,3,20,11,4,6,9,2,8,4,-,9
2_20,30,1,21,16,10,10,9,3,22,12,4,6,9,2,7,4,-,8
2_21,30,2,22,16,9,9,10,3,21,11,4,6,9,2,8,4,-,10
2_22,28,2,18,13,8,11,9,3,16,13,3,7,7,6,7,4,-,9
2_23,28,2,22,14,14,11,9,3,22,12,3,7,8,2,7,3,-,8
2_24,30,2,22,16,11,10,10,3,21,12,3,4,9,2,8,2,-,9
2_25,27,2,21,16,10,9,9,3,21,10,3,4,9,2,6,2,-,8
2_26,27,1,21,16,10,9,10,3,21,9,4,6,9,2,8,3,-,10
2_27,29,1,20,16,9,10,9,3,22,10,4,6,9,2,7,4,-,8
2_28,28,1,21,16,10,9,10,3,21,10,4,6,9,2,8,4,-,9
2_29,25,3,18,13,9,11,9,3,16,13,3,7,7,6,7,4,-,9
3_1,27,2,22,14,13,12,9,3,22,12,4,8,8,2,7,4,-,8
3_2,28,2,22,16,10,9,9,3,21,10,4,6,9,2,8,4,-,9
3_3,27,2,21,16,10,9,9,3,22,11,3,6,9,2,6,3,-,8
3_4,27,2,22,16,10,9,9,3,21,11,3,4,9,2,8,4,-,9
3_5,29,2,23,16,10,10,9,4,22,10,3,4,9,2,7,2,-,8
3_6,31,1,23,16,10,10,10,4,21,9,4,6,9,2,8,3,-,9
3_7,23,4,28,15,12,13,9,4,19,10,3,12,8,3,10,1,-,17
3_8,29,5,29,18,12,13,9,4,21,13,3,8,8,2,6,2,-,10
3_9,30,2,28,14,11,10,11,4,23,15,4,6,8,3,8,5,-,12
3_10,30,3,28,14,11,10,9,5,23,13,4,6,8,3,6,5,-,12
3_11,30,3,28,14,11,10,10,4,22,15,4,6,8,4,8,5,-,12
3_12,31,3,28,14,11,10,9,4,24,14,3,6,9,4,8,5,-,12
3_13,31,3,29,14,11,10,10,4,23,13,3,5,9,4,9,4,-,13
3_14,26,3,31,15,12,13,9,3,22,10,2,10,11,4,11,0,-,18
3_15,30,5,30,18,12,13,9,4,24,11,3,8,9,3,7,2,-,9
3_16,31,2,27,14,11,10,9,4,22,14,4,6,9,4,9,5,-,13
3_17,30,2,22,14,11,12,9,3,24,13,4,6,8,4,8,5,-,12
3_18,29,2,21,14,10,10,10,3,21,11,4,5,9,4,9,4,-,13
3_19,27,3,21,13,11,10,9,3,19,14,4,6,9,4,8,4,-,8
3_20,26,1,20,13,8,10,8,3,13,14,3,6,5,4,8,3,-,10
3_21,20,1,16,14,11,14,9,2,14,8,3,11,10,2,10,1,-,17
3_22,20,1,20,14,11,12,9,4,14,10,0,7,7,1,4,1,-,8
